عدد,سوره,آیه,کلمات,حروف
۱,فاتحه,۷,۲۹,۱۴۲
۲,بقره,۲۸۶,۶۲۲۱,۲۵۵۰۰
۳,آل عمران,۲۰۰,۳۴۸۰,۱۴۵۲۵
۴,نساء,۱۷۶,۳۷۴۵,۱۶۰۳۰
۵,مائده,۱۲۰,۲۸۰۴,۱۱۹۳۳
۶,انعام,۱۶۵,۳۸۵۰,۱۲۲۵۴
۷,اعراف,۲۰۶,۳۸۲۵,۱۳۸۷۷
۸,انفال,۷۵,۱۰۹۵,۵۰۸۰
۹,توبه,۱۲۹,۴۰۹۸,۱۰۴۸۸
۱۰,یونس,۱۰۹,۱۸۳۲,۷۵۶۷
۱۱,هود,۱۲۳,۱۷۱۵,۷۵۱۳
۱۲,یوسف,۱۱۱,۱۷۶۶,۷۱۶۶
۱۳,رعد,۴۳,۸۵۵,۳۵۰۶
۱۴,ابراهیم,۵۲,۸۳۱,۳۴۳۴
۱۵,حجر,۹۹,۶۵۴,۲۷۶۰
۱۶,نحل,۱۲۸,۲۸۴۰,۷۷۰۷
۱۷,اسرا,۱۱۱,۱۵۳۳,۶۴۶۰
۱۸,کهف,۱۱۰,۱۵۷۹,۶۳۶۰
۱۹,مریم,۹۸,۹۸۲,۳۸۰۲
۲۰,طه,۱۳۵,۱۳۴۱,۵۲۴۲
۲۱,انبیاء,۱۱۲,۱۱۶۸,۴۸۹۰
۲۲,حج,۷۸,۱۲۹۱,۵۰۷۰
۲۳,مؤمنون,۱۱۸,۱۸۴۰,۴۸۰۲
۲۴,نور,۶۴,۱۳۱۶,۵۶۸۰
۲۵,فرقان,۷۷,۸۹۲,۳۷۳۳
۲۶,شعراء,۲۲۷,۱۲۹۷,۵۵۲۲
۲۷,نمل,۹۳,۱۱۴۹,۴۷۹۹
۲۸,قصص,۸۸,۱۴۴۱,۵۸۰۰
۲۹,عنکبوت,۶۹,۱۹۸۱,۴۱۹۵
۳۰,روم,۶۰,۸۱۹,۳۵۳۴
۳۱,لقمان,۳۴,۵۴۲,۲۱۱۰
۳۲,سجده,۳۰,۳۸۰,۱۵۰۰
۳۳,احزاب,۷۳,۱۲۸۰,۵۷۹۶
۳۴,سبأ,۵۴,۸۸۳,۱۵۱۲
۳۵,فاطر,۴۵,۷۹۷,۳۱۳۰
۳۶,یس,۸۳,۷۲۹,۳۰۰۰
۳۷,صافات,۱۸۲,۸۲۰,۳۸۲۳
۳۸,ص,۸۸,۷۳۲,۳۰۲۹
۳۹,زمر,۷۵,۱۱۹۲,۴۷۰۸
۴۰,مؤمن,۸۵,۱۱۹۹,۴۹۶۰
۴۱,فصلت,۵۴,۷۹۶,۳۳۵۰
۴۲,شوری,۵۳,۸۶۶,۳۵۸۸
۴۳,زخرف,۸۹,۸۳۳,۳۴۰۰
۴۴,دخان,۵۹,۳۴۶,۱۴۳۱
۴۵,جاثیه,۳۷,۴۸۸,۲۱۹۱
۴۶,احقاف,۳۵,۶۴۴,۲۵۹۸
۴۷,محمد(ص),۳۸,۵۳۹,۲۳۴۹
۴۸,فتح,۲۹,۵۶۰,۲۴۳۸
۴۹,حجرات,۱۸,۳۴۳,۱۴۹۶
۵۰,ق,۴۵,۳۵۷,۱۴۹۴
۵۱,ذاریات,۶۰,۳۶۰,۱۲۸۷
۵۲,طور,۴۹,۳۱۲,۱۵۰۰
۵۳,نجم,۶۲,۳۰۸,۱۴۰۵
۵۴,قمر,۵۵,۳۴۲,۱۴۲۰
۵۵,رحمن,۷۸,۳۵۱,۱۶۳۶
۵۶,واقعه,۹۶,۳۷۸,۱۷۰۳
۵۷,حدید,۲۹,۵۴۴,۲۴۷۶
۵۸,مجادله,۲۲,۴۷۳,۱۷۹۲
۵۹,حشر,۲۴,۴۴۵,۱۹۱۳
۶۰,ممتحنه,۱۳,۳۴۸,۱۵۱۰
۶۱,صف,۱۴,۲۲۱,۹۰۰
۶۲,جمعه,۱۱,۱۸۰,۷۲۰
۶۳,منافقون,۱۱,۱۸۰,۷۷۶
۶۴,تغابن,۱۸,۲۴۱,۱۰۷۰
۶۵,طلاق,۱۲,۲۴۸,۱۰۶۰
۶۶,تحریم,۱۲,۲۴۶,۱۱۶۰
۶۷,ملک,۳۰,۳۳۰,۱۳۰۰
۶۸,قلم,۵۲,۳۰۰,۱۲۵۶
۶۹,حاقه,۵۲,۲۵۶,۱۰۸۴
۷۰,معارج,۴۴,۲۱۶,۱۰۶۱
۷۱,نوح,۲۸,۲۲۴,۹۲۹
۷۲,جن,۲۸,۲۳۵,۸۷۰
۷۳,مزّمّل,۲۰,۲۸۵,۸۳۸
۷۴,مدّثر,۵۶,۲۵۵,۱۰۱۰
۷۵,قیامه,۴۰,۱۹۹,۶۵۲
۷۶,دهر,۳۱,۲۴۰,۱۰۵۴
۷۷,مرسلات,۵۰,۱۸۱,۸۱۶
۷۸,نبأ,۴۰,۱۷۳,۷۷۰
۷۹,نازعات,۴۶,۱۳۹,۷۵۳
۸۰,عبس,۴۲,۱۳۳,۵۳۳
۸۱,تکویر,۲۹,۱۱۴,۵۳۳
۸۲,انفطار,۱۹,۸۰,۳۲۷
۸۳,مطففین,۳۶,۱۷۷,۸۳۰
۸۴,انشقاق,۲۵,۱۰۹,۴۳۰
۸۵,بروج,۲۲,۱۰۹,۴۵۸
۸۶,طارق,۱۷,۶۱,۲۴۵
۸۷,اعلی,۱۹,۷۲,۲۷۰
۸۸,غاشیه,۲۶,۷۲,۳۳۰
۸۹,فجر,۳۰,۱۳۷,۵۷۷
۹۰,بلد,۲۰,۸۲,۳۳۰
۹۱,شمس,۱۵,۵۴,۲۴۷
۹۲,لیل,۲۱,۷۱,۳۰۲
۹۳,ضحی,۱۱,۴۰,۱۹۲
۹۴,انشراح,۸,۲۷,۱۰۳
۹۵,تین,۸,۳۴,۱۵۰
۹۶,علق,۱۹,۹۲,۲۸۰
۹۷,قدر,۵,۳۰,۱۱۲
۹۸,بیّنه,۸,۹۴,۳۹۲
۹۹,زلزال,۸,۳۵,۱۴۹
۱۰۰,عادیات,۱۱,۴۰,۱۶۳
۱۰۱,قارعه,۱۱,۳۶,۱۵۰
۱۰۲,تکاثر,۸,۲۸,۱۲۰
۱۰۳,عصر,۳,۱۴,۶۸
۱۰۴,همزه,۹,۳۳,۱۳۰
۱۰۵,فیل,۵,۲۳,۹۶
۱۰۶,قریش,۴,۱۷,۹۳
۱۰۷,ماعون,۷,۲۵,۱۲۵
۱۰۸,کوثر,۳,۱۰,۴۲
۱۰۹,کافرون,۶,۲۶,۹۴
۱۱۰,نصر,۳,۱۹,۷۷
۱۱۱,مسد,۵,۲۰,۷۷
۱۱۲,اخلاص,۴,۱۵,۴۷
۱۱۳,فلق,۵,۲۳,۷۴
۱۱۴,ناس,۶,۲۰,۷۹
